method,seed,model_family,final_avg_acc,min_task_acc,context_entropy_mean,context_margin_mean,context_top1_acc_mean,latent_frechet_margin_mean,prototype_weight_mean,class2_margin_vs4_mean,class5_margin_vs4_mean,class2_logit_rank_mean,class5_logit_rank_mean,trainable_params,total_params,backbone_params,readout_trainable_params,readout_total_params,model_size_mb_total,probe_row,backbone_source,probe_feature,probe_context_mode,middle_avg_acc,middle_min_acc,avg_forgetting,old_class_acc,recent_class_acc,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,min_class_acc,pred4_bias,method_role
baseline_lwf,4,mlp_baseline,0.4445,0.00125,,,,,0.0,-1.2182000279426575,0.9728120565414429,2.1262500286102295,1.0575000047683716,217798,217798,217798.0,,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,0.616875,0.3675,0.601875,0.0020833333333333333,0.9012500000000001,0.0025,0.0,0.00375,0.73375,0.9975,0.9725,0.0,0.4816666666666667,deployable_continual_baseline
baseline_pnn,0,pnn_fixed_columns,0.29875,0.0,,,,,0.0,-41.86413383483887,3.995530366897583,3.9987499713897705,1.0,219334,1088966,1088966.0,,,4.154075622558594,False,baseline_sequential_or_joint,baseline_logits,none,0.248125,0.0,0.8396874999999999,0.0,0.6645833333333333,0.0,0.0,0.0,0.0,0.99375,1.0,0.0,0.8037500000000001,deployable_continual_baseline
baseline_pnn,1,pnn_fixed_columns,0.3,0.0,,,,,0.0,-45.71407508850098,2.6342716217041016,4.0,1.0,219334,1088966,1088966.0,,,4.154075622558594,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.8418749999999999,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8308333333333332,deployable_continual_baseline
baseline_pnn,2,pnn_fixed_columns,0.29825,0.0,,,,,0.0,-41.49100875854492,1.8986146450042725,3.962499976158142,1.0175000429153442,219334,1088966,1088966.0,,,4.154075622558594,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.829375,0.0,0.6608333333333333,0.0,0.0,0.0,0.0,1.0,0.9825,0.0,0.834375,deployable_continual_baseline
baseline_pnn,3,pnn_fixed_columns,0.29975,0.0,,,,,0.0,-38.442575454711914,3.128554344177246,3.9950000047683716,1.002500057220459,219334,1088966,1088966.0,,,4.154075622558594,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.8353125,0.0,0.6658333333333334,0.0,0.0,0.0,0.0,1.0,0.9975,0.0,0.8275000000000001,deployable_continual_baseline
baseline_pnn,4,pnn_fixed_columns,0.29925,0.0,,,,,0.0,-46.101837158203125,2.698945999145508,3.997499942779541,1.002500057220459,219334,1088966,1088966.0,,,4.154075622558594,False,baseline_sequential_or_joint,baseline_logits,none,0.249375,0.0,0.8443750000000001,0.0,0.665,0.0,0.0,0.0,0.0,0.9975,0.9975,0.0,0.8241666666666668,deployable_continual_baseline
baseline_sparse_moe,0,sparse_moe,0.29975,0.0,0.00018778530720737764,,,,0.0,-17.501018524169922,2.3786892890930176,4.0,1.0,1188555,1188555,1188555.0,,,4.533977508544922,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.845,0.0,0.66625,0.0,0.0,0.0,0.0,0.99875,1.0,0.0,0.8272916666666666,deployable_continual_baseline
baseline_sparse_moe,1,sparse_moe,0.3,0.0,2.039046621575835e-05,,,,0.0,-24.584428787231445,2.2786169052124023,4.0,1.0,1188555,1188555,1188555.0,,,4.533977508544922,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.84,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8316666666666667,deployable_continual_baseline
baseline_sparse_moe,2,sparse_moe,0.3,0.0,4.679984783706459e-05,,,,0.0,-28.271331787109375,2.457768201828003,4.0,1.0,1188555,1188555,1188555.0,,,4.533977508544922,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.8440624999999999,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.8293750000000001,deployable_continual_baseline
baseline_sparse_moe,3,sparse_moe,0.2995,0.0,3.215900917439285e-05,,,,0.0,-25.66160011291504,2.1199352741241455,4.0037500858306885,1.0049999952316284,1188555,1188555,1188555.0,,,4.533977508544922,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.8459375,0.0,0.665,0.0,0.0,0.0,0.0,1.0,0.995,0.0,0.8333333333333334,deployable_continual_baseline
baseline_sparse_moe,4,sparse_moe,0.29975,0.0,8.1217638603448e-05,,,,0.0,-27.429473876953125,2.5744400024414062,4.0,1.002500057220459,1188555,1188555,1188555.0,,,4.533977508544922,False,baseline_sequential_or_joint,baseline_logits,none,0.25,0.0,0.8484375,0.0,0.6658333333333334,0.0,0.0,0.0,0.0,1.0,0.9975,0.0,0.8320833333333334,deployable_continual_baseline
paired_context_blend_selected_global,0,mmals_rc2b_candidate,0.8470000000000001,0.7325,4.7608918052333137e-08,1.0,1.0,36.23387451171875,1.0,3.2819783687591553,2.721553325653076,1.231249988079071,1.0075000524520874,1337606,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.8,0.7325,0.11718749999999994,0.89875,0.84,0.965,0.88,0.85125,0.65875,0.86375,0.9975,0.65875,0.17770833333333336,deployable_mmals_paired
paired_context_blend_selected_global,1,mmals_rc2b_candidate,0.84325,0.655,0.0031118679791688917,0.9989205002784729,0.8,37.96434326171875,1.0,2.481834441423416,2.8133246898651123,1.6487500071525574,1.0049999952316284,1337606,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.7987500000000001,0.655,0.1015625,0.8479166666666668,0.8883333333333333,0.99,0.95375,0.6,0.91125,0.75875,0.995,0.6,0.18979166666666666,deployable_mmals_paired
paired_context_blend_selected_global,2,mmals_rc2b_candidate,0.9185000000000001,0.85875,4.2620824647343626e-10,1.0,1.0,38.17704391479492,1.0,8.779133558273315,3.056368350982666,1.0250000357627869,1.002500057220459,1337606,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.88,0.85875,0.028437500000000032,0.9579166666666666,0.8937500000000002,0.9275,0.97125,0.975,0.795,0.88875,0.9975,0.795,0.17,deployable_mmals_paired
paired_context_blend_selected_global,3,mmals_rc2b_candidate,0.8787499999999999,0.67625,1.111210269044807e-06,0.9999998569488525,1.0,30.854305076599122,1.0,4.462262984365225,2.3015036582946777,1.3774999976158142,1.0,1337606,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.7887500000000001,0.67625,0.0884375,0.89125,0.9025,0.975,0.965,0.73375,0.85125,0.85625,1.0,0.73375,0.20437499999999997,deployable_mmals_paired
paired_context_blend_selected_global,4,mmals_rc2b_candidate,0.8307499999999999,0.54375,0.000723252771422267,0.9998198032379151,1.0,21.244458770751955,1.0,6.825635671615601,2.3210790157318115,1.066249966621399,1.0,1337606,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.8525,0.7475,0.015312500000000034,0.9558333333333332,0.7558333333333334,0.9625,0.9575,0.9475,0.7275,0.54,1.0,0.54,0.11375000000000002,deployable_mmals_paired
paired_context_gap_selected,0,mmals_rc2b_candidate,0.8852499999999999,0.84125,7.35683419960394e-20,1.0,0.8,36.29811592102051,1.0,2.8885931968688965,2.345449924468994,1.3475000262260437,1.0075000524520874,390,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.8612500000000001,0.84125,0.076875,0.8829166666666667,0.9187500000000001,0.96,0.8925,0.79625,0.89,0.86875,0.9975,0.79625,0.18395833333333333,deployable_mmals_paired
paired_context_gap_selected,1,mmals_rc2b_candidate,0.87675,0.74625,1.1732339044101536e-05,0.9999980568885803,0.8,37.62837219238281,1.0,2.0736458599567413,3.2793076038360596,1.4012500047683716,1.0049999952316284,390,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.8362499999999999,0.74625,0.07718749999999999,0.8754166666666667,0.9166666666666666,0.9875,0.95625,0.6825,0.93,0.8225,0.9975,0.6825,0.1825,deployable_mmals_paired
paired_context_gap_selected,2,mmals_rc2b_candidate,0.9390000000000001,0.91375,4.2620824647343626e-10,1.0,1.0,37.906968688964845,1.0,4.742647647857666,3.731022834777832,1.0837500095367432,1.0,390,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.933125,0.915,0.029687500000000006,0.9404166666666667,0.94625,0.93,0.9675,0.92375,0.9,0.93875,1.0,0.9,0.17895833333333333,deployable_mmals_paired
paired_context_gap_selected,3,mmals_rc2b_candidate,0.9087500000000001,0.79375,0.0012701615487458184,0.9994059562683105,1.0,30.369654273986818,1.0,3.135786771774292,2.74106502532959,1.2899999618530273,1.002500057220459,390,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.840625,0.79375,0.06812500000000002,0.9141666666666667,0.9291666666666667,0.975,0.96875,0.79875,0.8875,0.9025,0.9975,0.79875,0.18958333333333333,deployable_mmals_paired
paired_context_gap_selected,4,mmals_rc2b_candidate,0.8952500000000001,0.79625,0.000723252771422267,0.9998198032379151,1.0,21.110831832885744,1.0,2.8906753063201904,2.675901412963867,1.1137499809265137,1.0,390,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.91,0.86375,0.026249999999999996,0.9391666666666666,0.8783333333333333,0.9525,0.94875,0.91625,0.85875,0.77625,1.0,0.77625,0.146875,deployable_mmals_paired
paired_context_temp_blend_selected_global,0,mmals_rc2b_candidate,0.8470000000000001,0.7325,4.7608918052333137e-08,1.0,1.0,36.29811592102051,1.0,3.2819783687591553,2.721553325653076,1.231249988079071,1.0075000524520874,1337606,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.8,0.7325,0.11687499999999992,0.89875,0.84,0.965,0.88,0.85125,0.65875,0.86375,0.9975,0.65875,0.17770833333333336,deployable_mmals_paired
paired_context_temp_blend_selected_global,1,mmals_rc2b_candidate,0.84325,0.655,1.1732339044101536e-05,0.9999980568885803,0.8,37.62837219238281,1.0,2.4812999963760376,2.8133246898651123,1.6474999785423279,1.0049999952316284,1337606,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.7987500000000001,0.655,0.1015625,0.8479166666666668,0.8883333333333333,0.99,0.95375,0.6,0.91125,0.75875,0.995,0.6,0.18979166666666666,deployable_mmals_paired
paired_context_temp_blend_selected_global,2,mmals_rc2b_candidate,0.9185000000000001,0.85875,4.2620824647343626e-10,1.0,1.0,37.906968688964845,1.0,8.779133558273315,3.056368350982666,1.0250000357627869,1.002500057220459,1337606,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.88,0.85875,0.027187500000000003,0.9579166666666666,0.8937500000000002,0.9275,0.97125,0.975,0.795,0.88875,0.9975,0.795,0.17,deployable_mmals_paired
paired_context_temp_blend_selected_global,3,mmals_rc2b_candidate,0.8787499999999999,0.67625,1.7842805851913394e-06,0.999999737739563,1.0,28.163279914855956,1.0,4.462262984365225,2.3015036582946777,1.3774999976158142,1.0,1337606,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.7887500000000001,0.67625,0.0884375,0.89125,0.9025,0.975,0.965,0.73375,0.85125,0.85625,1.0,0.73375,0.20437499999999997,deployable_mmals_paired
paired_context_temp_blend_selected_global,4,mmals_rc2b_candidate,0.8685,0.785,0.7651082754135132,0.5687512859702111,0.9832500100135804,20.687712621688842,0.6600000262260437,3.9499268531799316,2.475332260131836,1.1737499833106995,1.0,1337606,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.83375,0.785,0.04718750000000005,0.9145833333333333,0.8541666666666666,0.9275,0.9525,0.86375,0.74,0.8225,1.0,0.74,0.18729166666666666,deployable_mmals_paired
paired_context_temp_blend_selected_head_guard_035,0,mmals_rc2b_candidate,0.8852499999999999,0.84125,7.35683419960394e-20,1.0,0.8,36.29811592102051,1.0,2.8885931968688965,2.345449924468994,1.3475000262260437,1.0075000524520874,390,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.8612500000000001,0.84125,0.076875,0.8829166666666667,0.9187500000000001,0.96,0.8925,0.79625,0.89,0.86875,0.9975,0.79625,0.18395833333333333,deployable_mmals_paired
paired_context_temp_blend_selected_head_guard_035,1,mmals_rc2b_candidate,0.87675,0.74625,1.1732339044101536e-05,0.9999980568885803,0.8,37.62837219238281,1.0,2.0736458599567413,3.2793076038360596,1.4012500047683716,1.0049999952316284,390,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.8362499999999999,0.74625,0.07718749999999999,0.8754166666666667,0.9166666666666666,0.9875,0.95625,0.6825,0.93,0.8225,0.9975,0.6825,0.1825,deployable_mmals_paired
paired_context_temp_blend_selected_head_guard_035,2,mmals_rc2b_candidate,0.9390000000000001,0.91375,4.2620824647343626e-10,1.0,1.0,37.906968688964845,1.0,4.742647647857666,3.731022834777832,1.0837500095367432,1.0,390,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.933125,0.915,0.029687500000000006,0.9404166666666667,0.94625,0.93,0.9675,0.92375,0.9,0.93875,1.0,0.9,0.17895833333333333,deployable_mmals_paired
paired_context_temp_blend_selected_head_guard_035,3,mmals_rc2b_candidate,0.9087500000000001,0.79375,0.0012701615487458184,0.9994059562683105,1.0,30.369654273986818,1.0,3.135786771774292,2.74106502532959,1.2899999618530273,1.002500057220459,390,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.840625,0.79375,0.06812500000000002,0.9141666666666667,0.9291666666666667,0.975,0.96875,0.79875,0.8875,0.9025,0.9975,0.79875,0.18958333333333333,deployable_mmals_paired
