method,model_family,final_avg_acc_mean,final_avg_acc_std,min_task_acc_mean,avg_forgetting_mean,middle_avg_acc_mean,middle_min_acc_mean,old_class_acc_mean,recent_class_acc_mean,class0_acc_mean,class1_acc_mean,class2_acc_mean,class3_acc_mean,class4_acc_mean,class5_acc_mean,min_class_acc_mean,pred4_bias_mean,class2_margin_vs4_mean,class5_margin_vs4_mean,class2_logit_rank_mean,class5_logit_rank_mean,trainable_params_mean,total_params_mean,backbone_params_mean,readout_total_params_mean,model_size_mb_total_mean,probe_row,backbone_source,probe_feature,probe_context_mode,method_role
baseline_balanced_replay,mlp_baseline,0.8390000000000001,0.011727371828333985,0.6985,0.1351875,0.7762499999999999,0.6985,0.8068333333333333,0.9031666666666667,0.873,0.92875,0.61875,0.77425,0.93825,0.9970000000000001,0.61875,0.24041666666666667,1.0876501977443696,2.3500600337982176,1.48125,1.006000018119812,217798.0,217798.0,217798.0,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline
baseline_experience_replay,mlp_baseline,0.8390000000000001,0.011727371828333985,0.6985,0.1351875,0.7762499999999999,0.6985,0.8068333333333333,0.9031666666666667,0.873,0.92875,0.61875,0.77425,0.93825,0.9970000000000001,0.61875,0.24041666666666667,1.0876501977443696,2.3500600337982176,1.48125,1.006000018119812,217798.0,217798.0,217798.0,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline
probe_proto__transformed3_oracle,probe,0.7838499999999999,0.07101047457945905,0.68525,,0.74375,0.68525,0.7934166666666667,0.7998333333333333,0.749,0.88025,0.751,0.7915,0.6359999999999999,0.9720000000000001,0.58575,0.15625,1.610323441028595,3.80626220703125,1.3057499885559083,1.0585000276565553,390.0,390.0,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,transformed3,oracle,diagnostic_probe
probe_proto__transformed1_oracle,probe,0.6989,0.11670296161623324,0.525,,0.595875,0.53525,0.7191666666666666,0.7054166666666667,0.645,0.88325,0.62925,0.55225,0.6505,0.9135,0.4205,0.1775,1.030115020275116,2.3184656143188476,1.4735000014305115,1.1740000009536744,390.0,390.0,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,transformed1,oracle,diagnostic_probe
probe_proto__transformed2_oracle,probe,0.68155,0.10879185975981838,0.47775,,0.62675,0.508,0.6718333333333333,0.7225833333333334,0.58,0.81425,0.62125,0.6995,0.49725,0.9710000000000001,0.32125,0.13508333333333333,1.309534813463688,3.4979180812835695,1.484499990940094,1.047499990463257,390.0,390.0,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,transformed2,oracle,diagnostic_probe
probe_proto__transformed0_oracle,probe,0.67115,0.07013616221322631,0.45275,,0.609,0.45275,0.7384999999999999,0.6526666666666666,0.72,0.7927500000000001,0.70275,0.6855,0.35700000000000004,0.9155,0.21825,0.11641666666666665,0.572568203508854,2.608192491531372,1.3940000057220459,1.1919999837875366,390.0,390.0,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,transformed0,oracle,diagnostic_probe
probe_proto__transformed4_oracle,probe,0.6124,0.09043084374260808,0.35150000000000003,,0.466125,0.35150000000000003,0.7255,0.5766666666666667,0.7085,0.7889999999999999,0.679,0.43550000000000005,0.314,0.9804999999999999,0.12150000000000001,0.0935,1.0564195388462394,4.240142965316773,1.431500005722046,1.037000012397766,390.0,390.0,,,0.00148773193359375,True,mmals_proto_first_balanced_replay,transformed4,oracle,diagnostic_probe
baseline_lwf,mlp_baseline,0.44684999999999997,0.02318579845508883,0.00125,0.607125,0.604125,0.35625,0.026666666666666665,0.89275,0.0765,0.0024999999999999996,0.001,0.7085,0.99825,0.9715,0.0,0.4730833333333334,-1.1996543645858764,0.9290207028388977,2.1740000009536744,1.046499991416931,217798.0,217798.0,217798.0,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline
baseline_sparse_moe,sparse_moe,0.2998,0.00020916500663351232,0.0,0.8446875,0.25,0.0,0.0,0.6660833333333334,0.0,0.0,0.0,0.0,0.99975,0.9984999999999999,0.0,0.8307500000000001,-24.68957061767578,2.361889934539795,4.000750017166138,1.0015000104904175,1188555.0,1188555.0,1188555.0,,4.533977508544922,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline
baseline_ewc,mlp_baseline,0.29975,0.00017677669529664195,0.0,0.8422499999999999,0.25,0.0,0.0,0.6659166666666667,0.0,0.0,0.0,0.0,0.99975,0.998,0.0,0.8300416666666667,-31.045497322082518,2.5129007577896116,5.221750068664551,1.0020000219345093,217798.0,217798.0,217798.0,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline
baseline_finetune,mlp_baseline,0.29969999999999997,0.00020916500663353013,0.0,0.8411875,0.25,0.0,0.0,0.6657500000000001,0.0,0.0,0.0,0.0,0.99975,0.9974999999999999,0.0,0.8309166666666666,-24.225182342529298,2.2169968128204345,4.414999985694886,1.0025000095367431,217798.0,217798.0,217798.0,,0.8308334350585938,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline
baseline_pnn,pnn_fixed_columns,0.2992,0.0007158910531638105,0.0,0.838125,0.2495,0.0,0.0,0.6645833333333333,0.0,0.0,0.0,0.0,0.99825,0.9955,0.0,0.8241250000000001,-42.722726058959964,2.871183395385742,3.990749979019165,1.0045000314712524,219334.0,1088966.0,1088966.0,,4.154075622558594,False,baseline_sequential_or_joint,baseline_logits,none,deployable_continual_baseline
