method,seed,model_family,final_avg_acc,min_task_acc,context_entropy_mean,context_margin_mean,context_top1_acc_mean,latent_frechet_margin_mean,prototype_weight_mean,class2_margin_vs4_mean,class5_margin_vs4_mean,class2_logit_rank_mean,class5_logit_rank_mean,trainable_params,total_params,backbone_params,readout_trainable_params,readout_total_params,model_size_mb_total,probe_row,backbone_source,probe_feature,probe_context_mode,middle_avg_acc,middle_min_acc,avg_forgetting,old_class_acc,recent_class_acc,class0_acc,class1_acc,class2_acc,class3_acc,class4_acc,class5_acc,min_class_acc,pred4_bias,method_role
paired_context_blend_selected_global,0,mmals_rc2b_candidate,0.7715,0.325,0.6453406751155853,0.5381562083959579,0.9742499947547912,25.1093469619751,0.6600000262260437,0.1637784242630005,2.68632173538208,1.8475000858306885,1.0075000524520874,1337606,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.523125,0.325,0.23875,0.7766666666666667,0.8316666666666667,0.9375,0.90625,0.48625,0.7475,0.75,0.9975,0.48625,0.24104166666666668,deployable_mmals_paired
paired_context_blend_selected_global,1,mmals_rc2b_candidate,0.9035,0.85,0.01069243997335434,0.9948204517364502,0.9679999947547913,33.45130648612976,1.0,3.1088383197784424,2.2190074920654297,1.2950000166893005,1.0099999904632568,1337606,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.915,0.89,0.05375000000000002,0.9050000000000001,0.93125,0.9925,0.935,0.7875,0.92375,0.88,0.99,0.7875,0.17375,deployable_mmals_paired
paired_context_blend_selected_global,2,mmals_rc2b_candidate,0.881,0.635,0.5071576356887817,0.6172735407948494,0.865750002861023,31.80535297393799,0.6600000262260437,1.824524074792862,2.835698127746582,1.57750004529953,1.0075000524520874,1337606,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.7731250000000001,0.635,0.10812500000000003,0.8370833333333333,0.9500000000000001,0.92,0.97375,0.6175,0.865,0.9925,0.9925,0.6175,0.24354166666666668,deployable_mmals_paired
paired_context_gap_selected,0,mmals_rc2b_candidate,0.8412499999999999,0.75,0.6237693011760712,0.5507783174514771,0.9577499985694885,25.8445255279541,0.6600000262260437,2.4614726901054382,3.650437593460083,1.2549999952316284,1.0125000476837158,390,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.7537499999999999,0.75,0.11156250000000001,0.8875000000000001,0.8366666666666668,0.94,0.89625,0.82625,0.84125,0.67625,0.9925,0.67625,0.14770833333333333,deployable_mmals_paired
paired_context_gap_selected,1,mmals_rc2b_candidate,0.9115,0.81875,0.016539838910102845,0.9913922786712647,0.9679999947547913,29.511765050888062,1.0,2.959748387336731,3.634728193283081,1.1837499737739563,1.002500057220459,390,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.878125,0.81875,0.05218749999999997,0.9366666666666666,0.915,0.9975,0.95125,0.86125,0.85625,0.89125,0.9975,0.85625,0.17270833333333332,deployable_mmals_paired
paired_context_gap_selected,2,mmals_rc2b_candidate,0.9045,0.80375,5.436193532744169e-07,0.9999999403953552,0.8,29.671852111816406,1.0,5.26076877117157,3.646252155303955,1.2262499928474426,1.002500057220459,390,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.835,0.80375,0.06781250000000005,0.89875,0.9320833333333334,0.9425,0.9125,0.84125,0.8975,0.90125,0.9975,0.84125,0.185625,deployable_mmals_paired
paired_context_temp_blend_selected_global,0,mmals_rc2b_candidate,0.8074999999999999,0.5,0.6237693011760712,0.5507783174514771,0.9577499985694885,25.8445255279541,0.6600000262260437,1.773912250995636,2.687565326690674,1.5024999976158142,1.0075000524520874,1337606,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.60625,0.5,0.1934375,0.8133333333333334,0.8554166666666667,0.94,0.9125,0.5875,0.83125,0.7375,0.9975,0.5875,0.21083333333333334,deployable_mmals_paired
paired_context_temp_blend_selected_global,1,mmals_rc2b_candidate,0.90025,0.85,0.025163149833679198,0.9816680788993836,0.9679999947547913,32.72088470458984,1.0,2.876754641532898,2.2190074920654297,1.3112500309944153,1.0099999904632568,1337606,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.906875,0.87375,0.05781250000000002,0.9,0.9308333333333333,0.9925,0.935,0.7725,0.9225,0.88,0.99,0.7725,0.17666666666666667,deployable_mmals_paired
paired_context_temp_blend_selected_global,2,mmals_rc2b_candidate,0.88375,0.63875,0.5524742305278778,0.6102142378687858,0.8592499971389771,31.368982124328614,0.6600000262260437,1.7538789212703705,2.837782621383667,1.5700000524520874,1.0075000524520874,1337606,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.7775000000000001,0.63875,0.10593750000000002,0.8383333333333334,0.9533333333333335,0.92,0.97375,0.62125,0.875,0.9925,0.9925,0.62125,0.2429166666666667,deployable_mmals_paired
paired_context_temp_blend_selected_head_guard_035,0,mmals_rc2b_candidate,0.8412499999999999,0.75,0.6237693011760712,0.5507783174514771,0.9577499985694885,25.8445255279541,0.6600000262260437,2.4614726901054382,3.650437593460083,1.2549999952316284,1.0125000476837158,390,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.7537499999999999,0.75,0.11156250000000001,0.8875000000000001,0.8366666666666668,0.94,0.89625,0.82625,0.84125,0.67625,0.9925,0.67625,0.14770833333333333,deployable_mmals_paired
paired_context_temp_blend_selected_head_guard_035,1,mmals_rc2b_candidate,0.9115,0.81875,0.016539838910102845,0.9913922786712647,0.9679999947547913,29.511765050888062,1.0,2.959748387336731,3.634728193283081,1.1837499737739563,1.002500057220459,390,1337606,1337216.0,390.0,390.0,5.102561950683594,False,same_proto_first_checkpoint,original_backbone_zf_rc2b_policy,proto_first_rc2b_strict,0.878125,0.81875,0.05218749999999997,0.9366666666666666,0.915,0.9975,0.95125,0.86125,0.85625,0.89125,0.9975,0.85625,0.17270833333333332,deployable_mmals_paired
